chart_rank,track_name,artist,daily_streams,country,scrape_date
121,Hasi - Male Version,Ami Mishra,0,India,2026-02-17
122,Ishq Di Baajiyaan (w/ Diljit Dosanjh),Shankar-Ehsaan-Loy,0,India,2026-02-17
123,I'M Done,Maan Panu,0,India,2026-02-17
124,Piya Ghar Aavenge,galewings,0,India,2026-02-17
125,End of Beginning,Djo,0,India,2026-02-17
126,Pal Pal Dil Ke Paas,Kishore Kumar,0,India,2026-02-17
127,"Kasturi (From ""Amar Prem Ki Prem Kahani"") (w/ Prasad S, Kunaal Vermaa)",Arijit Singh,0,India,2026-02-17
128,"Pal (w/ Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole)",Javed-Mohsin,0,India,2026-02-17
129,Udaarian,Satinder Sartaaj,0,India,2026-02-17
130,Aaj Se Teri (w/ Arijit Singh),Amit Trivedi,0,India,2026-02-17
131,BLACK RIDE (w/ Hammy Muzic),Dhanda Nyoliwala,0,India,2026-02-17
132,"Phir Mohabbat (w/ Arijit Singh, Saim Bhat, Mithoon, Sayeed Quadri)",Mohammed Irfan,0,India,2026-02-17
133,One Love,Shubh,0,India,2026-02-17
134,Meri Zindagi Hai Tu (w/ Sabri Sisters),Asim Azhar,0,India,2026-02-17
135,"Chikiri Chikiri (From ""Peddi"") [TELUGU] (w/ Mohit Chauhan, Balaji)",A.R. Rahman,0,India,2026-02-17
136,Shree Hanuman Chalisa,Hariharan,0,India,2026-02-17
137,Tension,Dhanda Nyoliwala,0,India,2026-02-17
138,"Singari (w/ Pradeep Ranganathan, Sai Smriti, Semv.iii)",Sai Abhyankkar,0,India,2026-02-17
139,"Mere Sohneya (From ""Kabir Singh"") (w/ Parampara Tandon, Sachet-Parampara)",Sachet Tandon,0,India,2026-02-17
140,Die With A Smile (w/ Bruno Mars),Lady Gaga,0,India,2026-02-17
141,Ishq Sufiyana (Male),Kamal Khan,0,India,2026-02-17
142,"Soch Na Sake (w/ Arijit Singh, Tulsi Kumar)",Amaal Mallik,0,India,2026-02-17
143,"Run Down The City - Monica (w/ Reble, Asha Bhosle, R. D. Burman, Majrooh Sultanpuri)",Shashwat Sachdev,0,India,2026-02-17
144,Dil Kaa Jo Haal Hai (w/ Shreya Ghoshal),Abhijeet,0,India,2026-02-17
145,Wavy,Karan Aujla,0,India,2026-02-17
146,"Thalapathy Kacheri (From ""Jana Nayagan"") (w/ Thalapathy Vijay, Arivu)",Anirudh Ravichander,0,India,2026-02-17
147,Tainu Khabar Nahi (w/ Arijit Singh),Sachin-Jigar,0,India,2026-02-17
148,Gaadi 150 (w/ THOUGHT),Vikram Sarkar,0,India,2026-02-17
149,Tere Bina Na Guzara E,Josh Brar,0,India,2026-02-17
150,Afghan Jalebi (Film Version) (w/ Akhtar Chinnal),Pritam,0,India,2026-02-17
151,Har Har Shambhu Shiv Mahadeva (w/ Abhilipsa Panda),Jeetu Sharma,0,India,2026-02-17
152,California Love (w/ Gur Sidhu),Cheema Y,0,India,2026-02-17
153,"Andaaz e Karam (w/ Moin, ER)",Madhur Sharma,0,India,2026-02-17
154,"Satranga (From ""ANIMAL"") (w/ Shreyas Puranik, Siddharth - Garima)",Arijit Singh,0,India,2026-02-17
155,Winning Speech (w/ Mxrci),Karan Aujla,0,India,2026-02-17
156,"Phir Bhi Tumko Chaahunga (w/ Arijit Singh, Shashaa Tirupati)",Mithoon,0,India,2026-02-17
157,Dil Ibaadat (w/ KK),Pritam,0,India,2026-02-17
158,"Khuda Jaane (w/ KK, Shilpa Rao)",Vishal-Shekhar,0,India,2026-02-17
159,I Wanna Be Yours,Arctic Monkeys,0,India,2026-02-17
160,Bholenath Ki Shaadi,Hansraj Raghuwanshi,0,India,2026-02-17
161,Toota Jo Kabhi Tara (w/ Atif Aslam),Sumedha Karmahe,0,India,2026-02-17
162,Softly (w/ Ikky),Karan Aujla,0,India,2026-02-17
163,"Monica (w/ Sublahshini, Asal Kolaar)",Anirudh Ravichander,0,India,2026-02-17
164,"Chambal K Dakku (w/ Rahul Muana, Swara Verma, Ruba Khan)",Masoom Sharma,0,India,2026-02-17
165,"Kabira (w/ Tochi Raina, Rekha Bhardwaj)",Pritam,0,India,2026-02-17
166,"Tum Tak (w/ Javed Ali, KIRTI SAGATHIA, Pooja AV)",A.R. Rahman,0,India,2026-02-17
167,Maula Mere Maula,Roop Kumar Rathod,0,India,2026-02-17
168,"Pardesiya (w/ Sonu Nigam, Krishnakali Saha, Amitabh Bhattacharya)",Sachin-Jigar,0,India,2026-02-17
169,"Itni Si Baat Hain (From ""Azhar"") (w/ Antara Mitra)",Arijit Singh,0,India,2026-02-17
170,Gaadi Paache Gaadi (w/ Bulbul),Amanraj Gill,0,India,2026-02-17
171,"Channa Mereya (w/ Arijit Singh, Ranbir Kapoor, Anushka Sharma, Aishwarya Rai Bachchan, Fawad Khan)",Pritam,0,India,2026-02-17
172,Hamari Adhuri Kahani (Title Track) (w/ Arijit Singh),Jeet Gannguli,0,India,2026-02-17
173,"Main Rang Sharbaton Ka (w/ Chinmayi, Pritam)",Atif Aslam,0,India,2026-02-17
174,"Qubool (From ""Haq"") (w/ Vishal Mishra, Kaushal Kishore)",Armaan Khan,0,India,2026-02-17
175,Aadat (Feat. AP Dhillon) (w/ AP Dhillon),Yo Yo Honey Singh,0,India,2026-02-17
176,Enna Sona (w/ Arijit Singh),A.R. Rahman,0,India,2026-02-17
177,Maahi (w/ Toshi Sabri),Shaarib Toshi,0,India,2026-02-17
178,Deewane (w/ Bir),Navaan Sandhu,0,India,2026-02-17
